facility_id,category,subtype,source,facility_name,lat,lon,has_coords,address,city,county,zip,status,first_year,last_year,capacity,fire_id,fire_name,fire_year,bucket,dins_year,dist_m,census_tract,generalized
CCC-016271,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2012.0,,48,EATON_2025,EATON,2025.0,complete_loss,2025.0,21.0315364086688,06037461200,TRUE
CCC-015394,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2016.0,2026.0,15,EATON_2025,EATON,2025.0,complete_loss,2025.0,26.900056836914814,06037461100,TRUE
CCC-005675,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,1988.0,2025.0,60,EATON_2025,EATON,2025.0,complete_loss,2025.0,37.512184010917345,06037460101,TRUE
CCC-010017,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2010.0,2026.0,64,EATON_2025,EATON,2025.0,complete_loss,2025.0,35.60805349542756,06037460101,TRUE
CCC-003163,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,ORANGE,,not_matched,1990.0,,62,BOND_2020,BOND,2020.0,,,,06059032011,TRUE
CCC-000119,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,BUTTE,,not_matched,1995.0,2022.0,24,GRAND_2020,GRAND,2020.0,,,,06007002500,TRUE
CCC-011331,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,ORANGE,,not_matched,2020.0,2023.0,204,SILVERADO_2020,SILVERADO,2020.0,,,,06059052430,TRUE
CCC-002344,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,no_damage,2007.0,2025.0,60,PALISADES_2025,PALISADES,2025.0,no_damage,2025.0,36.11058606676145,06037262604,TRUE
CCC-017334,childcare_center,INFANT CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2013.0,,32,EATON_2025,EATON,2025.0,complete_loss,2025.0,32.22901646045551,06037460301,TRUE
CCC-003529,childcare_center,INFANT CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,no_damage,2012.0,,30,PALISADES_2025,PALISADES,2025.0,no_damage,2025.0,19.101997224416323,06037262604,TRUE
CCC-005048,childcare_center,INFANT CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2012.0,,12,EATON_2025,EATON,2025.0,complete_loss,2025.0,21.0315364086688,06037461200,TRUE
CCC-019079,childcare_center,SCHOOL AGE DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2007.0,,13,EATON_2025,EATON,2025.0,complete_loss,2025.0,24.39921508313972,06037461100,TRUE
CCC-005235,childcare_center,SCHOOL AGE DAY CARE CENTER,ChildCareCenters,,,,,,,BUTTE,,complete_loss,1988.0,2023.0,28,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,33.35374846379527,06007001900,TRUE
CCC-016044,childcare_center,SCHOOL AGE DAY CARE CENTER,ChildCareCenters,,,,,,,BUTTE,,complete_loss,2004.0,,24,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,39.27212844896751,06007002100,TRUE
CCC-018173,childcare_center,SCHOOL AGE DAY CARE CENTER,ChildCareCenters,,,,,,,ORANGE,,no_damage,2019.0,,135,SILVERADO_2020,SILVERADO,2020.0,no_damage,2020.0,35.23873626265135,06059052430,TRUE
CCC-010269,childcare_center,SCHOOL AGE DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,1994.0,,75,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,22.39599167450482,06037262604,TRUE
CCC-008995,childcare_center,SCHOOL AGE DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,impacted,1994.0,,60,PALISADES_2025,PALISADES,2025.0,impacted,2025.0,37.072280773203154,06037262706,TRUE
