FIPS,E_TOTPOP,E_AGE65,E_AGE17,acc_hospital_clinic,drop_hospital_clinic,droppct_hospital_clinic,acc_residential_elderly_disabled,drop_residential_elderly_disabled,droppct_residential_elderly_disabled,acc_childcare_center,drop_childcare_center,droppct_childcare_center,acc_school,drop_school,droppct_school
06001403401,2717.0,843.0,108.0,0.013152299746343025,0.0,0.0,0.08602820668206328,0.0,0.0,0.21990994446228382,0.0,0.0,0.0021122906277974826,0.0,0.0
06001403402,1134.0,115.0,72.0,0.01315744998676144,0.0,0.0,0.0855658147296056,0.0,0.0,0.20919729540983578,0.0,0.0,0.002039756529583433,0.0,0.0
06001403501,4904.0,936.0,317.0,0.013124193784666649,0.0,0.0,0.08553635617739015,0.0,0.0,0.23807845583781642,0.0,0.0,0.0020757648520617292,0.0,0.0
06001403502,1919.0,224.0,163.0,0.013127427383250062,0.0,0.0,0.08587210833319492,0.0,0.0,0.2361364571557391,0.0,0.0,0.002110164652310484,0.0,0.0
06001403600,5056.0,463.0,572.0,0.013131325139476565,0.0,0.0,0.0862527609681317,0.0,0.0,0.23271147292309705,0.0,0.0,0.0021459802433114543,0.0,0.0
06001403701,2909.0,652.0,198.0,0.01313977806738428,0.0,0.0,0.08584912659109642,0.0,0.0,0.22839922414791256,0.0,0.0,0.002105973341399096,0.0,0.0
06001403702,2238.0,246.0,276.0,0.013138343160858214,0.0,0.0,0.08649808734793289,0.0,0.0,0.22876113334188605,0.0,0.0,0.002165902941529414,0.0,0.0
06001403800,4008.0,621.0,656.0,0.013112544885510011,0.0,0.0,0.08727639868469683,0.0,0.0,0.22941591353764348,0.0,0.0,0.0022125257482896138,0.0,0.0
06001403900,3883.0,691.0,478.0,0.013116076722975404,0.0,0.0,0.0865613935868553,0.0,0.0,0.2357806443696795,0.0,0.0,0.0021654657049243976,0.0,0.0
06001404000,3145.0,433.0,434.0,0.013101307050922651,0.0,0.0,0.08593898138201947,0.0,0.0,0.24412326645084695,0.0,0.0,0.0020990416022096075,0.0,0.0
06001404101,3208.0,595.0,300.0,0.013069568577542361,0.0,0.0,0.08599904365929828,0.0,0.0,0.24529582541456701,0.0,0.0,0.002069371529100559,0.0,0.0
06001404102,2701.0,826.0,324.0,0.013087846877840398,0.0,0.0,0.08605808250073704,0.0,0.0,0.244433227820246,0.0,0.0,0.002096860766136727,0.0,0.0
06001404200,3894.0,782.0,890.0,0.013011187017968946,0.0,0.0,0.08704694647857653,0.0,0.0,0.23091994667897642,0.0,0.0,0.0020463021563146165,0.0,0.0
06001404300,3587.0,751.0,723.0,0.012975183178669832,0.0,0.0,0.08664115821741991,0.0,0.0,0.23652765932339984,0.0,0.0,0.0019207875829552188,0.0,0.0
06001404400,5823.0,1137.0,1207.0,0.012891192233952489,0.0,0.0,0.08857516685011911,0.0,0.0,0.20497199699052882,0.0,0.0,0.0018572286255696705,0.0,0.0
06001404501,1820.0,411.0,445.0,0.012985542899904804,0.0,0.0,0.0887920014983918,0.0,0.0,0.2084128414937144,0.0,0.0,0.002132744848245296,0.0,0.0
06001404502,6110.0,1359.0,1159.0,0.012876826526537455,0.0,0.0,0.0896592664850674,0.0,0.0,0.2072272296225571,0.0,0.0,0.0019538742598339187,0.0,0.0
06001404600,4934.0,1186.0,991.0,0.012860830731322898,0.0,0.0,0.09047318278223265,0.0,0.0,0.20012563584042803,0.0,0.0,0.0020205044130653096,0.0,0.0
06001404700,2187.0,464.0,406.0,0.012988564617655091,0.0,0.0,0.09002589352343687,0.0,0.0,0.19840870370623098,0.0,0.0,0.0021919384631365123,0.0,0.0
06001404800,2744.0,621.0,504.0,0.013039921428258015,0.0,0.0,0.09008837440729094,0.0,0.0,0.19186166957397438,0.0,0.0,0.002256260860315464,0.0,0.0
06001404900,4669.0,964.0,807.0,0.013078310575405254,0.0,0.0,0.08956014495406431,0.0,0.0,0.20071855648108447,0.0,0.0,0.002279301941100645,0.0,0.0
06001405000,3665.0,657.0,714.0,0.01309376757934642,0.0,0.0,0.0888127270514824,0.0,0.0,0.2108760787447644,0.0,0.0,0.002271005245535176,0.0,0.0
06001405100,4508.0,924.0,1091.0,0.013099960902056841,0.0,0.0,0.08825298256786052,0.0,0.0,0.21740018890814009,0.0,0.0,0.00225479399827657,0.0,0.0
06001405200,4913.0,738.0,697.0,0.013135043241363394,0.0,0.0,0.08740263443730556,0.0,0.0,0.22272957386674577,0.0,0.0,0.0022251563894259154,0.0,0.0
06001405301,2872.0,355.0,320.0,0.013152291690526511,0.0,0.0,0.08670207108507928,0.0,0.0,0.21937312253647442,0.0,0.0,0.0021702880610319684,0.0,0.0
06001405302,2559.0,554.0,98.0,0.013160725630215777,0.0,0.0,0.08653318942150288,0.0,0.0,0.21298700800440526,0.0,0.0,0.0021388275232121544,0.0,0.0
06001405401,3541.0,398.0,395.0,0.013158868771020928,0.0,0.0,0.08704525614328325,0.0,0.0,0.21209249484927858,0.0,0.0,0.0021751651760222326,0.0,0.0
06001405402,3673.0,513.0,615.0,0.01315859293171076,0.0,0.0,0.0875340336795898,0.0,0.0,0.20746120852932343,0.0,0.0,0.002190906483460176,0.0,0.0
06001405500,3537.0,585.0,436.0,0.013146544435873061,0.0,0.0,0.08763769231540694,0.0,0.0,0.21491884344865775,0.0,0.0,0.0022234771795556253,0.0,0.0
06001405600,3044.0,239.0,384.0,0.013130272004642774,0.0,0.0,0.08817960161565659,0.0,0.0,0.21540891247844987,0.0,0.0,0.0022568013289702904,0.0,0.0
06001405700,3522.0,304.0,624.0,0.013115518946552109,0.0,0.0,0.08910297475989033,0.0,0.0,0.20676051939204312,0.0,0.0,0.0022798544929358705,0.0,0.0
06001405800,4182.0,400.0,983.0,0.013131084715135452,0.0,0.0,0.08892862343208868,0.0,0.0,0.20536702815064165,0.0,0.0,0.002263448575404981,0.0,0.0
06001405901,3757.0,354.0,1070.0,0.013141983481363683,0.0,0.0,0.08882793467145195,0.0,0.0,0.19828550416217508,0.0,0.0,0.002231271328386374,0.0,0.0
06001405902,3138.0,305.0,626.0,0.013151743603105016,0.0,0.0,0.08819220358162841,0.0,0.0,0.20404067526932138,0.0,0.0,0.0022162112256752966,0.0,0.0
06001406000,4735.0,764.0,814.0,0.01316775562020276,0.0,0.0,0.08736103799796455,0.0,0.0,0.1937213334261115,0.0,0.0,0.0021242263711338445,0.0,0.0
06001406100,4939.0,673.0,831.0,0.013109691573414607,0.0,0.0,0.08966395530619686,0.0,0.0,0.17143779119832797,0.0,0.0,0.0021631453234562,0.0,0.0
06001406201,5072.0,435.0,1252.0,0.013129669695644278,0.0,0.0,0.08934545222361616,0.0,0.0,0.19220914959547203,0.0,0.0,0.002238085470901903,0.0,0.0
06001406202,4733.0,681.0,938.0,0.013116255394213768,0.0,0.0,0.08974168500273397,0.0,0.0,0.1849731252481872,0.0,0.0,0.0022312832350355276,0.0,0.0
06001406300,4556.0,601.0,1116.0,0.013111832624591995,0.0,0.0,0.08979201725267959,0.0,0.0,0.19380653317086854,0.0,0.0,0.0022695170851944435,0.0,0.0
06001406400,2598.0,858.0,508.0,0.013093683240213939,0.0,0.0,0.08989040638175225,0.0,0.0,0.19553740176537915,0.0,0.0,0.0022861869938748075,0.0,0.0
06001406500,6494.0,940.0,1548.0,0.013082193798301955,0.0,0.0,0.09042590102039823,0.0,0.0,0.18329772878991837,0.0,0.0,0.0022665340714216322,0.0,0.0
06001406601,4531.0,729.0,537.0,0.013034084883302615,0.0,0.0,0.09085462150329073,0.0,0.0,0.17359021203292488,0.0,0.0,0.0022528303495109397,0.0,0.0
06001406602,2540.0,372.0,636.0,0.013060433697538953,0.0,0.0,0.09038595048026166,0.0,0.0,0.18545915231953328,0.0,0.0,0.002276722263343353,0.0,0.0
