facility_id,category,fire_status,outcome,FIPS,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
RED-002251,residential_elderly_disabled,,outside_all_perimeters,06073013302,0.4062,0.3569,0.6664,0.7412,0.2053
RED-005688,residential_elderly_disabled,,outside_all_perimeters,06085512401,0.3966,0.4103,0.5112,0.3385,0.3477
RED-003663,residential_elderly_disabled,,outside_all_perimeters,06059099802,0.9915,0.9196,0.9616,0.6969,0.9944
RED-004953,residential_elderly_disabled,,outside_all_perimeters,06071009133,0.8628,0.9085,0.7633,0.7303,0.7182
RED-016973,residential_elderly_disabled,,outside_all_perimeters,06067009006,0.8315,0.797,0.7543,0.3557,0.8998
RED-023766,residential_elderly_disabled,,outside_all_perimeters,06111006700,0.1912,0.1169,0.4971,0.1261,0.2759
RED-015871,residential_elderly_disabled,,outside_all_perimeters,06037480011,0.7965,0.7272,0.7501,0.7171,0.7841
RED-008117,residential_elderly_disabled,,outside_all_perimeters,06037572700,0.6188,0.6018,0.3194,0.9587,0.6209
RED-023015,residential_elderly_disabled,,outside_all_perimeters,06065042004,0.3675,0.1626,0.6521,0.4434,0.4888
RED-007898,residential_elderly_disabled,,outside_all_perimeters,06059086901,0.9343,0.9239,0.7725,0.7261,0.9187
RED-014469,residential_elderly_disabled,,outside_all_perimeters,06067007701,0.8316,0.8504,0.8419,0.3763,0.7767
RED-003323,residential_elderly_disabled,,outside_all_perimeters,06037408005,0.3594,0.3817,0.3539,0.755,0.2384
RED-021156,residential_elderly_disabled,,outside_all_perimeters,06067008111,0.4846,0.6181,0.5763,0.0919,0.3406
RED-020066,residential_elderly_disabled,,outside_all_perimeters,06067008111,0.4846,0.6181,0.5763,0.0919,0.3406
RED-002176,residential_elderly_disabled,,outside_all_perimeters,06067008111,0.4846,0.6181,0.5763,0.0919,0.3406
RED-008279,residential_elderly_disabled,,outside_all_perimeters,06067008119,0.5468,0.6345,0.5217,0.3445,0.4576
RED-000786,residential_elderly_disabled,,outside_all_perimeters,06073020405,0.0829,0.1043,0.1782,0.0619,0.1835
RED-013623,residential_elderly_disabled,,outside_all_perimeters,06065043310,0.8652,0.8939,0.97,0.5812,0.5465
RED-014349,residential_elderly_disabled,,outside_all_perimeters,06067008124,0.1765,0.2831,0.2622,0.0134,0.2016
RED-018386,residential_elderly_disabled,,outside_all_perimeters,06067008124,0.1765,0.2831,0.2622,0.0134,0.2016
RED-006021,residential_elderly_disabled,,outside_all_perimeters,06067008125,0.3961,0.2497,0.6638,0.043,0.5988
RED-007064,residential_elderly_disabled,,outside_all_perimeters,06059075807,0.3226,0.3374,0.2668,0.4643,0.3594
RED-004854,residential_elderly_disabled,,outside_all_perimeters,06067008143,0.4055,0.4808,0.5523,0.1073,0.3341
RED-013399,residential_elderly_disabled,,outside_all_perimeters,06065031402,0.7447,0.701,0.629,0.5405,0.8112
RED-004138,residential_elderly_disabled,,outside_all_perimeters,06065043524,0.5458,0.2869,0.9926,0.5026,0.3578
RED-023726,residential_elderly_disabled,,outside_all_perimeters,06067005002,0.9983,0.9347,0.9987,0.7737,0.9788
RED-012135,residential_elderly_disabled,,outside_all_perimeters,06067005002,0.9983,0.9347,0.9987,0.7737,0.9788
RED-010495,residential_elderly_disabled,,outside_all_perimeters,06065043810,0.2299,0.3218,0.6644,0.4678,0.0312
RED-019397,residential_elderly_disabled,,outside_all_perimeters,06065043810,0.2299,0.3218,0.6644,0.4678,0.0312
RED-007592,residential_elderly_disabled,,outside_all_perimeters,06037192001,0.5574,0.5375,0.242,0.1832,0.8809
RED-017952,residential_elderly_disabled,,outside_all_perimeters,06037131023,0.5237,0.6784,0.2843,0.6577,0.3514
RED-016983,residential_elderly_disabled,,outside_all_perimeters,06085503804,0.8046,0.7332,0.6233,0.7593,0.8537
RED-009544,residential_elderly_disabled,,outside_all_perimeters,06013332000,0.4385,0.2696,0.4923,0.4204,0.6666
RED-018404,residential_elderly_disabled,,outside_all_perimeters,06059099220,0.2381,0.4793,0.0745,0.0779,0.2895
RED-012889,residential_elderly_disabled,,outside_all_perimeters,06059110110,0.6187,0.6183,0.6392,0.6185,0.498
RED-014609,residential_elderly_disabled,,outside_all_perimeters,06059110402,0.7575,0.549,0.6379,0.7001,0.9399
RED-012851,residential_elderly_disabled,,outside_all_perimeters,06059110402,0.7575,0.549,0.6379,0.7001,0.9399
RED-016615,residential_elderly_disabled,,outside_all_perimeters,06037910215,0.486,0.5999,0.7275,0.6704,0.1147
RED-008248,residential_elderly_disabled,,outside_all_perimeters,06073008503,0.3633,0.3388,0.4843,0.3094,0.386
RED-015120,residential_elderly_disabled,,outside_all_perimeters,06067007503,0.5757,0.6491,0.3285,0.3183,0.6759
RED-000853,residential_elderly_disabled,,outside_all_perimeters,06061020712,0.4971,0.2863,0.7708,0.0974,0.7433
RED-002012,residential_elderly_disabled,,outside_all_perimeters,06037401705,0.5021,0.333,0.7898,0.4397,0.527
RED-009242,residential_elderly_disabled,,outside_all_perimeters,06037402002,0.5399,0.4077,0.3396,0.3057,0.8895
RED-012696,residential_elderly_disabled,,outside_all_perimeters,06037402002,0.5399,0.4077,0.3396,0.3057,0.8895
RED-016141,residential_elderly_disabled,,outside_all_perimeters,06037402002,0.5399,0.4077,0.3396,0.3057,0.8895
RED-003043,residential_elderly_disabled,,outside_all_perimeters,06097151800,0.0473,0.0253,0.2219,0.0551,0.1527
RED-020038,residential_elderly_disabled,,outside_all_perimeters,06037401902,0.3795,0.2754,0.5211,0.1437,0.5722
RED-007244,residential_elderly_disabled,,outside_all_perimeters,06037402002,0.5399,0.4077,0.3396,0.3057,0.8895
RED-013422,residential_elderly_disabled,,outside_all_perimeters,06037402002,0.5399,0.4077,0.3396,0.3057,0.8895
RED-023239,residential_elderly_disabled,,outside_all_perimeters,06037402002,0.5399,0.4077,0.3396,0.3057,0.8895
RED-022179,residential_elderly_disabled,,outside_all_perimeters,06037137203,0.4802,0.2325,0.5382,0.3814,0.8179
RED-006525,residential_elderly_disabled,,outside_all_perimeters,06037137203,0.4802,0.2325,0.5382,0.3814,0.8179
RED-022547,residential_elderly_disabled,,outside_all_perimeters,06037137202,0.6606,0.7121,0.099,0.3237,0.9569
RED-019424,residential_elderly_disabled,,outside_all_perimeters,06037137202,0.6606,0.7121,0.099,0.3237,0.9569
RED-014963,residential_elderly_disabled,,outside_all_perimeters,06095250105,0.4248,0.4181,0.7537,0.7171,0.1437
RED-007819,residential_elderly_disabled,,outside_all_perimeters,06065041810,0.0914,0.1694,0.1651,0.3726,0.0811
RED-012346,residential_elderly_disabled,,outside_all_perimeters,06085512505,0.4292,0.4106,0.685,0.7213,0.191
RED-002336,residential_elderly_disabled,,outside_all_perimeters,06013343001,0.0895,0.0243,0.2872,0.0949,0.2598
RED-021444,residential_elderly_disabled,,outside_all_perimeters,06019005509,0.5673,0.4065,0.9211,0.3116,0.529
RED-013914,residential_elderly_disabled,,outside_all_perimeters,06019005514,0.4083,0.3629,0.4453,0.2136,0.5595
RED-013746,residential_elderly_disabled,,outside_all_perimeters,06019005505,0.18,0.1116,0.5508,0.316,0.1677
RED-017600,residential_elderly_disabled,,outside_all_perimeters,06019005509,0.5673,0.4065,0.9211,0.3116,0.529
RED-021144,residential_elderly_disabled,,outside_all_perimeters,06019005505,0.18,0.1116,0.5508,0.316,0.1677
RED-017110,residential_elderly_disabled,,outside_all_perimeters,06019005505,0.18,0.1116,0.5508,0.316,0.1677
RED-014269,residential_elderly_disabled,,outside_all_perimeters,06019005505,0.18,0.1116,0.5508,0.316,0.1677
RED-015489,residential_elderly_disabled,,outside_all_perimeters,06069000200,0.3256,0.2519,0.4285,0.2925,0.4459
RED-006010,residential_elderly_disabled,,outside_all_perimeters,06037403902,0.5372,0.2531,0.7436,0.554,0.7589
RED-001578,residential_elderly_disabled,,outside_all_perimeters,06059075703,0.0549,0.0445,0.1867,0.2479,0.1221
RED-006759,residential_elderly_disabled,,outside_all_perimeters,06059075703,0.0549,0.0445,0.1867,0.2479,0.1221
RED-010124,residential_elderly_disabled,,outside_all_perimeters,06097151309,0.2256,0.1994,0.5683,0.1415,0.2005
RED-019790,residential_elderly_disabled,,outside_all_perimeters,06037651102,0.3374,0.1647,0.5187,0.3678,0.5243
RED-003024,residential_elderly_disabled,,outside_all_perimeters,06097154202,0.3032,0.2739,0.4112,0.1248,0.4332
RED-011978,residential_elderly_disabled,,outside_all_perimeters,06059063009,0.0212,0.0757,0.0738,0.0362,0.0869
RED-013513,residential_elderly_disabled,,outside_all_perimeters,06097154202,0.3032,0.2739,0.4112,0.1248,0.4332
RED-007072,residential_elderly_disabled,,outside_all_perimeters,06067005004,0.7354,0.7538,0.6993,0.8309,0.5283
RED-009249,residential_elderly_disabled,,outside_all_perimeters,06037408139,0.6515,0.727,0.7366,0.9638,0.2262
RED-001370,residential_elderly_disabled,,outside_all_perimeters,06037408139,0.6515,0.727,0.7366,0.9638,0.2262
RED-019539,residential_elderly_disabled,,outside_all_perimeters,06023000400,0.7582,0.6454,0.831,0.0591,0.9168
RED-019882,residential_elderly_disabled,,outside_all_perimeters,06077005003,0.1939,0.265,0.2439,0.1739,0.2234
RED-007770,residential_elderly_disabled,,outside_all_perimeters,06077001101,0.4444,0.4571,0.7152,0.531,0.2121
RED-009606,residential_elderly_disabled,,outside_all_perimeters,06077005004,0.4298,0.3908,0.7129,0.299,0.3432
RED-020329,residential_elderly_disabled,,outside_all_perimeters,06077000803,0.6699,0.619,0.5682,0.9142,0.58
RED-009024,residential_elderly_disabled,,outside_all_perimeters,06077005003,0.1939,0.265,0.2439,0.1739,0.2234
RED-015931,residential_elderly_disabled,,outside_all_perimeters,06077005003,0.1939,0.265,0.2439,0.1739,0.2234
RED-004215,residential_elderly_disabled,,outside_all_perimeters,06083001203,0.4533,0.5774,0.3921,0.0927,0.4476
