FIPS,fire,category,drop,drop_pct
06007000102,CAMP,hospital_clinic,0.0005334739680727361,3.236364438054563
06007000103,CAMP,hospital_clinic,0.0005385647229077271,3.305931750645357
06007000104,CAMP,hospital_clinic,0.0005161020976700532,3.165474484634969
06007000201,CAMP,hospital_clinic,0.00048195411818542427,3.004350665727663
06007000202,CAMP,hospital_clinic,0.0005014534740018117,3.0700773165710333
06007000300,CAMP,hospital_clinic,0.000482413834655472,2.9653313603491784
06007000401,CAMP,hospital_clinic,0.00044042506465479436,2.752804216470164
06007000403,CAMP,hospital_clinic,0.0004752795629827384,2.8883713739153527
06007000404,CAMP,hospital_clinic,0.0004582932965367392,2.8187830734376664
06007000501,CAMP,hospital_clinic,0.000450187656602242,2.7261723623288385
06007000502,CAMP,hospital_clinic,0.00048255926736356225,2.8752207274316084
06007000601,CAMP,hospital_clinic,0.00048158478099803286,2.9042776244117703
06007000603,CAMP,hospital_clinic,0.0004997056479108985,2.9826666232562022
06007000604,CAMP,hospital_clinic,0.0004895555301217231,2.9251434204216458
06007000700,CAMP,hospital_clinic,0.0005137484038540334,3.0729933209808937
06007000800,CAMP,hospital_clinic,0.0005414587619120162,3.260186027953058
06007000901,CAMP,hospital_clinic,0.0005907754858042948,3.5245104822214635
06007000903,CAMP,hospital_clinic,0.0005577498898761442,3.3030286619283804
06007000904,CAMP,hospital_clinic,0.0005629050160889644,3.3912502590031064
06007001000,CAMP,hospital_clinic,0.0005170515040027174,3.0627159437788256
06007001100,CAMP,hospital_clinic,0.0004908610869007512,2.889814835872132
06007001200,CAMP,hospital_clinic,0.0005300773806114743,3.0933238960160754
06007001300,CAMP,hospital_clinic,0.0005397380271458141,3.178883778843418
06007001400,CAMP,hospital_clinic,0.00036200423641742006,2.3679646267651773
06007001500,CAMP,hospital_clinic,0.00042867703993874077,2.551551613227261
06007001601,CAMP,hospital_clinic,0.0004599201789503549,6.961468915789881
06007001602,CAMP,hospital_clinic,0.0005853157209485413,4.105889036567778
06007001702,CAMP,hospital_clinic,0.0006657008164412709,5.118351895720295
06007001703,CAMP,hospital_clinic,0.000666421651524784,5.37951864467437
06007001704,CAMP,hospital_clinic,0.0005036737573044555,8.317802718708517
06007001800,CAMP,hospital_clinic,0.0006813071534792144,4.971863793818946
06007001900,CAMP,hospital_clinic,0.0006844627636445362,5.276014707748768
06007002000,CAMP,hospital_clinic,0.0006874514872461256,4.996023007543385
06007002100,CAMP,hospital_clinic,0.000678230724611162,4.656706111827442
06007002200,CAMP,hospital_clinic,0.0006344475083555719,3.9142068545764936
06007002300,CAMP,hospital_clinic,0.0006603094630929597,4.418818860970258
06007002401,CAMP,hospital_clinic,0.0006468410653615765,6.2515352995738
06007002402,CAMP,hospital_clinic,0.0003991406548585098,4.732573646008772
06007002500,CAMP,hospital_clinic,0.0005682626120148363,4.144199393687974
06007002601,CAMP,hospital_clinic,0.0003771212668663637,2.859638677961736
06007002602,CAMP,hospital_clinic,0.00045116784987521825,3.5629809712415472
06007002700,CAMP,hospital_clinic,0.00045844351175309785,3.206019551560805
06007002800,CAMP,hospital_clinic,0.00043795296302994775,2.893500086912242
06007002900,CAMP,hospital_clinic,0.0004575143950465255,2.9183192613428
06007003001,CAMP,hospital_clinic,0.00041354442763837313,2.7965589972475517
06007003002,CAMP,hospital_clinic,0.0003815569716580694,2.494472214100684
06007003100,CAMP,hospital_clinic,0.00039551045500907064,2.788433899088385
06007003200,CAMP,hospital_clinic,0.000278024841386517,1.8727422715253794
06007003300,CAMP,hospital_clinic,0.00018108465880605228,1.2468601168721187
06007003400,CAMP,hospital_clinic,7.558497898237042e-05,0.5079804460921886
06007003501,CAMP,hospital_clinic,0.0001195458020682935,0.7495437419530318
06007003600,CAMP,hospital_clinic,0.0002490090711089422,1.476062171782853
06007003700,CAMP,hospital_clinic,0.00045430358669390237,2.7750435840122445
06021010501,CAMP,hospital_clinic,0.00019990624883321588,1.4536017474195966
06021010502,CAMP,hospital_clinic,3.317152451623166e-05,0.284367290790041
06063000202,CAMP,hospital_clinic,3.907196162180779e-06,0.0704873814812816
06103000900,CAMP,hospital_clinic,9.498293832875853e-05,0.8082593892899145
06103001000,CAMP,hospital_clinic,1.8085538605513993e-05,0.1493990786257301
06115041101,CAMP,hospital_clinic,5.2809683821970886e-05,0.5127486043778747
06007000102,CAMP,residential_elderly_disabled,0.012171234719839143,12.68002597462985
06007000103,CAMP,residential_elderly_disabled,0.012727426007022319,13.221962400301438
06007000104,CAMP,residential_elderly_disabled,0.010939113505102863,11.610484775528795
06007000201,CAMP,residential_elderly_disabled,0.008412952792400381,9.105476777069061
06007000202,CAMP,residential_elderly_disabled,0.009754159470891094,10.381640430179694
06007000300,CAMP,residential_elderly_disabled,0.008292331956943538,8.899120638463105
06007000401,CAMP,residential_elderly_disabled,0.0051767842704745085,5.7293042628172515
06007000403,CAMP,residential_elderly_disabled,0.007573487253190631,8.123284157816993
